sample	cohort	sequencer
SRR24390484.rna.1	Case	Illumina_HiSeq_2500
SRR22831221.rna.1	Discard	Illumina_NovaSeq_6000
SRR22831243.rna.1	Control	Illumina_NovaSeq_6000
SRR22807095.rna.1	Case	Illumina_MiSeq
SRR22807042.rna.1	Case	Illumina_MiSeq
SRR24415250.rna.1	Case	Illumina_HiSeq_2500
SRR24390447.rna.1	Case	Illumina_HiSeq_2500
SRR22831158.rna.1	Control	Illumina_NovaSeq_6000
SRR22807084.rna.1	Case	Illumina_MiSeq
SRR22831228.rna.1	Control	Illumina_NovaSeq_6000
SRR24363051.rna.1	Case	Illumina_HiSeq_2500
SRR22807107.rna.1	Control	Illumina_MiSeq
SRR24390052.rna.1	Case	Illumina_HiSeq_2500
SRR22807121.rna.1	Control	Illumina_MiSeq
SRR22831181.rna.1	Control	Illumina_NovaSeq_6000
SRR22807122.rna.1	Control	Illumina_MiSeq
SRR22831161.rna.1	Control	Illumina_NovaSeq_6000
SRR24385727.rna.1	Case	Illumina_HiSeq_2500
SRR24415958.rna.1	Case	Illumina_HiSeq_2500
SRR22807081.rna.1	Case	Illumina_MiSeq
SRR22831152.rna.1	Control	Illumina_NovaSeq_6000
SRR24415074.rna.1	Case	Illumina_HiSeq_2500
SRR24414012.rna.1	Case	Illumina_HiSeq_2500
SRR24390005.rna.1	Case	Illumina_HiSeq_2500
SRR22807054.rna.1	Case	Illumina_MiSeq
SRR22807117.rna.1	Control	Illumina_MiSeq
SRR24363558.rna.1	Case	Illumina_HiSeq_2500
SRR24415093.rna.1	Case	Illumina_HiSeq_2500
SRR22831198.rna.1	Control	Illumina_NovaSeq_6000
SRR24363110.rna.1	Case	Illumina_HiSeq_2500
SRR24415951.rna.1	Case	Illumina_HiSeq_2500
SRR22807073.rna.1	Case	Illumina_MiSeq
SRR24415249.rna.1	Case	Illumina_HiSeq_2500
SRR22831235.rna.1	Control	Illumina_NovaSeq_6000
SRR24390445.rna.1	Case	Illumina_HiSeq_2500
SRR24363629.rna.1	Case	Illumina_HiSeq_2500
SRR22831185.rna.1	Control	Illumina_NovaSeq_6000
SRR22831249.rna.1	Control	Illumina_NovaSeq_6000
SRR24390055.rna.1	Case	Illumina_HiSeq_2500
SRR24363104.rna.1	Case	Illumina_HiSeq_2500
SRR22831206.rna.1	Control	Illumina_NovaSeq_6000
SRR24351914.rna.1	Case	Illumina_HiSeq_2500
SRR22831216.rna.1	Control	Illumina_NovaSeq_6000
SRR24385723.rna.1	Case	Illumina_HiSeq_2500
SRR22807080.rna.1	Case	Illumina_MiSeq
SRR24414153.rna.1	Case	Illumina_HiSeq_2500
SRR24390461.rna.1	Case	Illumina_HiSeq_2500
SRR24424531.rna.1	Case	Illumina_HiSeq_2500
SRR24415954.rna.1	Case	Illumina_HiSeq_2500
SRR24414007.rna.1	Case	Illumina_HiSeq_2500
SRR22831186.rna.1	Control	Illumina_NovaSeq_6000
SRR24363044.rna.1	Case	Illumina_HiSeq_2500
SRR24351918.rna.1	Case	Illumina_HiSeq_2500
SRR22831217.rna.1	Control	Illumina_NovaSeq_6000
SRR22807113.rna.1	Control	Illumina_MiSeq
SRR24424453.rna.1	Case	Illumina_HiSeq_2500
SRR22831214.rna.1	Control	Illumina_NovaSeq_6000
SRR24390463.rna.1	Case	Illumina_HiSeq_2500
SRR24415956.rna.1	Case	Illumina_HiSeq_2500
SRR22807094.rna.1	Case	Illumina_MiSeq
SRR24415091.rna.1	Case	Illumina_HiSeq_2500
SRR24442878.rna.1	Case	Illumina_HiSeq_2500
SRR24377014.rna.1	Case	Illumina_HiSeq_2500
SRR24363049.rna.1	Case	Illumina_HiSeq_2500
SRR22807050.rna.1	Case	Illumina_MiSeq
SRR24415244.rna.1	Case	Illumina_HiSeq_2500
SRR22807044.rna.1	Case	Illumina_MiSeq
SRR24351911.rna.1	Case	Illumina_HiSeq_2500
SRR24363634.rna.1	Case	Illumina_HiSeq_2500
SRR24390053.rna.1	Case	Illumina_HiSeq_2500
SRR22831154.rna.1	Control	Illumina_NovaSeq_6000
SRR24390483.rna.1	Case	Illumina_HiSeq_2500
SRR24363562.rna.1	Case	Illumina_HiSeq_2500
SRR22831195.rna.1	Control	Illumina_NovaSeq_6000
SRR22831245.rna.1	Control	Illumina_NovaSeq_6000
SRR24414147.rna.1	Case	Illumina_HiSeq_2500
SRR22831182.rna.1	Control	Illumina_NovaSeq_6000
SRR24415069.rna.1	Case	Illumina_HiSeq_2500
SRR22831215.rna.1	Control	Illumina_NovaSeq_6000
SRR24377015.rna.1	Case	Illumina_HiSeq_2500
SRR24385725.rna.1	Case	Illumina_HiSeq_2500
SRR24390467.rna.1	Case	Illumina_HiSeq_2500
SRR22831223.rna.1	Control	Illumina_NovaSeq_6000
SRR24390448.rna.1	Case	Illumina_HiSeq_2500
SRR24390008.rna.1	Case	Illumina_HiSeq_2500
SRR22807096.rna.1	Case	Illumina_MiSeq
SRR22807109.rna.1	Discard	Illumina_MiSeq
SRR24389993.rna.1	Case	Illumina_HiSeq_2500
SRR24390469.rna.1	Case	Illumina_HiSeq_2500
SRR24390000.rna.1	Case	Illumina_HiSeq_2500
SRR24385721.rna.1	Case	Illumina_HiSeq_2500
SRR24385739.rna.1	Case	Illumina_HiSeq_2500
SRR22807053.rna.1	Case	Illumina_MiSeq
SRR22831199.rna.1	Control	Illumina_NovaSeq_6000
SRR24390465.rna.1	Case	Illumina_HiSeq_2500
SRR24413240.rna.1	Case	Illumina_HiSeq_2500
SRR24363636.rna.1	Case	Illumina_HiSeq_2500
SRR24415095.rna.1	Case	Illumina_HiSeq_2500
SRR22807076.rna.1	Case	Illumina_MiSeq
SRR22807093.rna.1	Case	Illumina_MiSeq
SRR22831168.rna.1	Control	Illumina_NovaSeq_6000
SRR22807091.rna.1	Case	Illumina_MiSeq
SRR24390454.rna.1	Case	Illumina_HiSeq_2500
SRR24390446.rna.1	Case	Illumina_HiSeq_2500
SRR24377011.rna.1	Case	Illumina_HiSeq_2500
SRR22807102.rna.1	Control	Illumina_MiSeq
