sample	cohort	sequencer
N117RN0117.R.rna.1	Case	BGI500_1
CF233W0092.8B6AXX1MXF1.N002KX2P.rna.1	Control	BGI500_1
M117HM0424.R.rna.1	Control	BGI500_1
ZZ22JS022633.1R.1L.UDB.105.rna.1	Case	BGI500_1
MDL001.24C2209012L.RNA.C28.20220225.rna.1	Control	Next550_1
MDL001.09C2153010L.RNA.C05.20211227.rna.1	Control	Next550_1
MDL001.09C2225035L.RNA.D27.20220614.rna.1	Control	Next550_1
X22JS117030.rna.1	Control	Next550_2
CF21A30060.8A2AXXPXXF1.N002J019.rna.1	Control	BGI500_1
ZDH23081600081R.rna.1	Control	Next550_2
CF234C0319.8D6AXX1ZXF1.N002KX2P.rna.1	Control	BGI500_1
