sample	project	Mixnumber	frag	cov	signal
Mix88	SARS-Cov-2 study 1	5	1	99.8662	45.3225
Mix78	SARS-Cov-2 study 1	5	1	99.7759	42.4170
Mix5	SARS-Cov-2 study 1	5	1	99.8662	35.1205
Mix85	SARS-Cov-2 study 1	5	1	99.7960	0.4293
Mix75	SARS-Cov-2 study 1	5	1	99.8428	0.7326
Mix28	SARS-Cov-2 study 1	5	1	99.8930	0.4352
Mix72	SARS-Cov-2 study 1	5	1	99.8395	0.4517
Mix82	SARS-Cov-2 study 1	5	1	99.7157	7.7266
Mix89	SARS-Cov-2 study 1	5	2	99.7157	0.3642
Mix79	SARS-Cov-2 study 1	5	1	99.6422	1.0073
Mix87	SARS-Cov-2 study 1	5	1	99.8495	0.8024
Mix77	SARS-Cov-2 study 1	5	1	99.7994	15.7027
Mix63	SARS-Cov-2 study 1	5	3	99.8428	3.8587
Mix54	SARS-Cov-2 study 1	5	2	99.7091	2.7432
Mix27	SARS-Cov-2 study 1	5	1	99.8194	0.3409
Mix4	SARS-Cov-2 study 1	5	1	99.7693	14.2195
Mix94	SARS-Cov-2 study 1	5	1	99.7994	1.3800
Mix3	SARS-Cov-2 study 1	5	1	99.6422	0.3778
Mix60	SARS-Cov-2 study 1	5	1	99.8194	2.8116
Mix16	SARS-Cov-2 study 1	5	5	99.6054	0.4503
Mix34	SARS-Cov-2 study 1	5	1	99.8863	1.5908
Mix9	SARS-Cov-2 study 1	5	1	99.7759	0.7751
Mix44	SARS-Cov-2 study 1	5	1	99.7994	7.1086
Mix95	SARS-Cov-2 study 2	5	1	99.8696	0.0875
Mix82	SARS-Cov-2 study 2	5	2	2.2372	0.0009
Mix39	SARS-Cov-2 study 2	5	4	4.5882	0.0045
Mix93	SARS-Cov-2 study 2	5	6	8.9188	0.0095
Mix19	SARS-Cov-2 study 2	5	8	10.2498	0.0125
Mix80	SARS-Cov-2 study 2	5	3	3.3040	0.0022
Mix69	SARS-Cov-2 study 2	5	1	99.8562	0.0444
Mix23	SARS-Cov-2 study 2	5	1	99.8495	0.0681
Mix25	SARS-Cov-2 study 2	5	11	96.8966	0.1286
Mix98	SARS-Cov-2 study 2	5	3	99.8495	0.0545
Mix34	SARS-Cov-2 study 2	5	1	99.8529	0.0584
Mix6	SARS-Cov-2 study 2	5	1	99.8395	0.1099
Mix14	SARS-Cov-2 study 2	5	1	1.0200	0.0006
Mix26	SARS-Cov-2 study 2	5	10	97.5421	0.0605
Mix64	SARS-Cov-2 study 2	5	2	2.7723	0.0045
Mix1	SARS-Cov-2 study 2	5	5	99.4750	0.0789
Mix96	SARS-Cov-2 study 2	5	18	27.5056	0.0184
Mix87	SARS-Cov-2 study 2	5	1	1.1370	0.0004
Mix28	SARS-Cov-2 study 2	5	2	2.2372	0.0017
Mix81	SARS-Cov-2 study 2	5	2	2.6185	0.0028
Mix90	SARS-Cov-2 study 2	5	12	17.4832	0.0085
Mix83	SARS-Cov-2 study 2	5	19	89.7268	0.0832
Mix92	SARS-Cov-2 study 2	5	13	95.8232	0.0568
Mix85	SARS-Cov-2 study 2	5	24	92.2784	0.0343
Mix5	SARS-Cov-2 study 2	5	1	99.8729	0.1078
Mix22	SARS-Cov-2 study 2	5	1	99.8495	0.0845
Mix79	SARS-Cov-2 study 2	5	6	98.4918	0.4982
Mix49	SARS-Cov-2 study 2	5	2	2.1068	0.0024
Mix20	SARS-Cov-2 study 2	5	12	97.2478	0.0933
Mix27	SARS-Cov-2 study 2	5	30	77.1628	0.0634
Mix88	SARS-Cov-2 study 2	5	13	97.5788	0.0998
Mix21	SARS-Cov-2 study 2	5	6	8.0427	0.0080
