fragment	annotation
k141_86	Rhodococcus
k141_53	Rhodococcus
k141_417	Others
k141_898	Rhodococcus
k141_2187	Rhodococcus
k141_98	Rhodococcus
k141_2198	Others
k141_1544	Others
k141_1797	Rhodococcus
k141_1599	Rhodococcus
k141_1082	Rhodococcus
k141_1550	Rhodococcus
k141_1012	Others
k141_835	Rhodococcus
k141_931	Rhodococcus
k141_1115	Rhodococcus
k141_1121	Rhodococcus
k141_837	Rhodococcus
k141_858	Rhodococcus
k141_185	Others
k141_782	Others
k141_103	Rhodococcus
k141_191	Rhodococcus
k141_1748	Others
k141_187	Rhodococcus
k141_1751	Rhodococcus
k141_1346	Rhodococcus
k141_1302	Rhodococcus
k141_57	Rhodococcus
k141_2155	Rhodococcus
k141_2160	Others
k141_981	Rhodococcus
k141_126	Others
k141_131	Rhodococcus
k141_1861	Rhodococcus
k141_971	Rhodococcus
k141_599	Rhodococcus
k141_139	Others
k141_2077	Rhodococcus
k141_2199	Rhodococcus
k141_1266	Rhodococcus
k141_1426	Rhodococcus
k141_1428	Rhodococcus
k141_748	Rhodococcus
k141_1718	Rhodococcus
k141_1017	Rhodococcus
k141_573	Rhodococcus
k141_2200	Rhodococcus
k141_1566	Rhodococcus
k141_1433	Rhodococcus
k141_1865	Rhodococcus
k141_351	Rhodococcus
k141_354	Others
k141_70	Others
k141_313	Others
k141_1434	Rhodococcus
k141_2133	Rhodococcus
k141_1555	Rhodococcus
k141_618	Others
k141_1678	Rhodococcus
k141_607	Rhodococcus
k141_2335	Rhodococcus
k141_283	Others
k141_940	Rhodococcus
k141_1026	Others
k141_2010	Others
k141_2336	Rhodococcus
k141_462	Rhodococcus
k141_1219	Rhodococcus
k141_1124	Rhodococcus
k141_151	Others
k141_565	Others
k141_487	Others
k141_231	Rhodococcus
k141_1533	Rhodococcus
k141_470	Others
k141_739	Others
k141_1968	Rhodococcus
k141_528	Others
k141_0	Rhodococcus
k141_1094	Rhodococcus
k141_8	Others
k141_742	Others
k141_18	Rhodococcus
k141_22	Others
k141_1033	Others
k141_12	Others
k141_33	Others
k141_358	Others
k141_1037	Rhodococcus
k141_1069	Others
k141_1578	Rhodococcus
k141_1648	Others
k141_1573	Others
k141_427	Rhodococcus
k141_992	Others
k141_426	Rhodococcus
k141_2267	Others
k141_580	Rhodococcus
k141_643	Rhodococcus
k141_647	Others
k141_1690	Rhodococcus
k141_1692	Rhodococcus
k141_2017	Others
k141_1160	Rhodococcus
k141_238	Others
k141_844	Others
k141_235	Rhodococcus
k141_619	Rhodococcus
k141_1072	Rhodococcus
k141_750	Others
k141_376	Others
k141_383	Others
k141_387	Rhodococcus
k141_1040	Rhodococcus
k141_1056	Others
k141_1076	Rhodococcus
k141_752	Rhodococcus
k141_298	Others
k141_473	Others
k141_1387	Others
k141_289	Rhodococcus
k141_1900	Rhodococcus
k141_1767	Rhodococcus
k141_1912	Others
k141_1105	Rhodococcus
