cohort	raw	host	filtered	clean
COVID	20664144	4713975	15202936	747233
Control	41432456	39366713	1388708	677035
COVID	11496212	10344220	631323	520669
Control	16953952	16880850	12193	60909
COVID	27038945	26899625	26608	112712
COVID	33044180	32519868	275540	248772
Control	23807982	21968265	1354762	484955
Control	23151683	22790014	208506	153163
COVID	17809608	17748197	14943	46468
Control	12861653	12804473	13834	43346
COVID	17828852	16287761	714703	826388
Control	22736223	22687550	9613	39060
Control	35115875	34963819	12689	139367
Control	7805592	7420234	194837	190521
Control	34346788	29253211	2408009	2685568
Control	25139399	24866899	99761	172739
Control	16387073	16303068	16169	67836
COVID	50040091	41740458	562254	7737379
Control	10000565	9850430	137110	13025
Control	28753655	28105995	134745	512915
Control	24848151	24064013	513544	270594
Control	50027079	49669429	111173	246477
Control	52067672	51577736	176847	313089
Control	23592301	23523859	23785	44657
Control	26812699	26707292	19742	85665
COVID	17096273	15986665	778431	331177
Control	45269067	43896920	998300	373847
Control	30798972	27643482	2489909	665581
COVID	26073919	24774381	568442	731096
Control	15373331	15291505	23794	58032
Control	39113703	39045507	8122	60074
COVID	75316023	74379815	475920	460288
Control	9534610	9435597	84366	14647
Control	21097879	18265312	1868305	964262
COVID	20210284	19976010	11554	222720
Control	14114778	13794983	231953	87842
Control	18196310	17991932	102494	101884
Control	93183752	92504014	265068	414670
COVID	40292678	11122649	24492804	4677225
Control	24637995	23450132	783006	404857
Control	14276856	13994148	135490	147218
Control	10565846	9665831	364388	535627
Control	29127826	26795990	1506396	825440
Control	13053174	12993660	57218	2296
Control	8964794	8724926	136142	103726
Control	27973188	24695126	1582816	1695246
Control	7142654	7104649	18521	19484
Control	66842343	66095957	559538	186848
Control	15427688	15332939	11347	83402
Control	51875883	51580865	123806	171212
Control	47560863	46947496	468345	145022
Control	30382071	29997456	321353	63262
Control	18597300	15928624	1658516	1010160
Control	15562060	15503107	13764	45189
Control	19529924	19337135	82864	109925
Control	51185249	50979060	59077	147112
Control	19421271	19177950	207988	35333
Control	7746171	7717763	8137	20271
COVID	15098503	11792282	1916143	1390078
Control	63404852	63017962	162196	224694
Control	23955599	20588280	1175480	2191839
Control	41499039	24693055	15585689	1220295
Control	10709007	10494379	171925	42703
Control	26135874	25960842	46145	128887
Control	21018187	20923271	33536	61380
Control	20757087	20682970	10222	63895
COVID	39203531	38850253	212525	140753
Control	93646766	91355845	224537	2066384
Control	29210368	28899438	52636	258294
Control	46919667	46846119	50395	23153
COVID	11109214	11034272	20575	54367
Control	18046361	18046173	18	170
Control	45303924	43955553	1057592	290779
Control	24852136	24738856	106128	7152
Control	21224304	20903571	146652	174081
Control	17413804	17362971	21821	29012
Control	4929295	4748653	128320	52322
Control	28255342	28142351	17701	95290
COVID	11260104	11252508	6714	882
COVID	53747764	53188457	240386	318921
Control	47382430	46665574	397686	319170
Control	46199802	46165569	55	34178
COVID	18806830	9870404	8006337	930089
Control	30018331	29635102	42271	340958
Control	50957075	49749450	824508	383117
Control	19496113	19464716	27928	3469
