sample	round	prj	nCtg	nPath	cov	signal	annotatedRatio
rand.29	3	See_sars_2023	810	7	100	8.31847968545216	56.4753477334782
rand.3	3	See_sars_2023	394	12	100	18.23772536539	63.9119766709916
rand.30	3	See_sars_2023	1014	11	100	6.99193214469441	55.9889738037904
rand.31	3	See_sars_2023	541	2	100	12.0447411883498	55.0191778871397
rand.32	3	See_sars_2023	422	1	100	14.0290598610669	58.6486839669386
rand.33	3	See_sars_2023	462	20	100	16.4150345774165	52.3615540889043
rand.34	3	See_sars_2023	146	1	100	34.1418910442825	63.6270757935202
rand.35	3	See_sars_2023	352	1	99.9699026853493	17.1110322484631	53.4044139988399
rand.36	3	See_sars_2023	1028	5	100	6.74425973874358	59.3542589268349
rand.37	3	See_sars_2023	598	35	100	15.1630230491159	53.6347110244274
rand.38	3	See_sars_2023	603	1	100	10.484015002679	56.7841102921616
rand.39	3	See_sars_2023	506	34	100	17.8986171361072	58.3653745975204
rand.4	3	See_sars_2023	722	24	100	11.2601213139125	59.8200041562095
rand.40	3	See_sars_2023	503	3	100	12.6596382960487	58.760222440301
rand.41	3	See_sars_2023	939	30	100	9.04005746511592	76.1619924534099
rand.42	3	See_sars_2023	284	5	100	22.1493416324167	54.4175248953544
rand.43	3	See_sars_2023	374	2	100	16.2999661837564	49.7184706350122
rand.44	3	See_sars_2023	128	15	100	43.728558382901	56.3586920765806
rand.45	3	See_sars_2023	595	6	100	11.4171356388075	53.4220456165931
rand.46	3	See_sars_2023	222	12	100	28.3206480689901	64.0736452061139
rand.47	3	See_sars_2023	865	2	100	7.31597162682072	55.183304191932
rand.48	3	See_sars_2023	876	34	100	10.3677025319193	55.1162697189422
rand.49	3	See_sars_2023	721	18	100	10.8010814134956	56.0486375565449
rand.5	3	See_sars_2023	1325	1	100	4.72005685372614	56.3593905304991
rand.50	3	See_sars_2023	753	2	100	8.4724873329104	53.7308283028143
rand.51	3	See_sars_2023	706	7	100	9.89993252177913	57.60377485223
rand.52	3	See_sars_2023	888	27	100	9.64628105629866	59.9806541909615
rand.53	3	See_sars_2023	253	3	100	23.5915764176667	53.0907881207282
rand.54	3	See_sars_2023	1207	11	18.2088753636759	0.940928036717794	57.3542623582834
rand.55	3	See_sars_2023	739	1	1.43129451894459	0.132916777948237	60.4239095958057
rand.56	3	See_sars_2023	417	43	100	22.1916983769512	54.8050651862017
rand.57	3	See_sars_2023	634	2	100	10.0998482940517	53.9700221690361
rand.58	3	See_sars_2023	67	3	100	54.070089254826	68.4593077994953
rand.59	3	See_sars_2023	646	2	100	9.81090222403301	58.1757296973652
rand.6	3	See_sars_2023	837	22	100	10.0180121257423	61.3835712452084
rand.60	3	See_sars_2023	982	31	100	9.04925815002978	57.9212870924353
rand.61	3	See_sars_2023	804	20	100	10.0842154183928	56.4139352784263
rand.62	3	See_sars_2023	98	28	100	59.2899881474289	44.0157148870492
rand.63	3	See_sars_2023	186	50	100	48.0557895542962	56.2409007979655
rand.64	3	See_sars_2023	221	2	100	26.5787001676807	55.6796441553472
rand.65	3	See_sars_2023	580	44	100	17.1840908590025	55.5554569929434
rand.66	3	See_sars_2023	369	57	100	27.5098109726544	68.3871106893279
rand.67	3	See_sars_2023	257	2	100	21.7934410885921	67.8683544303798
rand.68	3	See_sars_2023	187	3	100	28.9878925463488	56.0713429416309
rand.69	3	See_sars_2023	965	6	100	7.16969923356991	88.8494579866969
rand.7	3	See_sars_2023	871	43	100	11.0980420985567	57.2348401323043
rand.70	3	See_sars_2023	591	54	100	18.1420465467283	56.8193183943085
rand.71	3	See_sars_2023	641	6	100	10.3530365685559	59.8124484450297
rand.72	3	See_sars_2023	56	7	100	61.0007372261394	53.4632349377151
rand.73	3	See_sars_2023	953	27	100	9.07812263166811	58.478895614377
rand.74	3	See_sars_2023	893	33	100	10.0733201358685	53.9045717708125
rand.75	3	See_sars_2023	834	1	99.7425007524329	7.59588448021189	57.2559352210653
rand.76	3	See_sars_2023	220	10	100	27.0791577068203	66.0253271610434
rand.77	3	See_sars_2023	494	3	100	12.9529853044795	50.902763303944
rand.78	3	See_sars_2023	464	1	100	13.2250641415611	56.118612897654
rand.79	3	See_sars_2023	784	36	100	11.6931453125813	48.9829147037753
rand.8	3	See_sars_2023	259	15	100	25.6711814108515	63.5922902940309
rand.80	3	See_sars_2023	245	6	100	24.1128728518784	69.557601354639
rand.81	3	See_sars_2023	375	1	100	16.4949417198153	54.2175020904799
