prj	cohort	asm_contig	asm_cov	signal_ratio	gatk_cov	gatk_reads	raw	clean	type
p2	Control	0	0	0	0.05007349	11	1739316	486619	PE
p2	Control	0	0	0	0.004982278	1	1190318	107078	PE
p2	Control	0	0	0	0.005815897	15	1375197	318346	PE
p2	Control	0	0	0	0	0	1382987	182241	PE
p2	Control	0	0	0	0	0	1185253	261952	PE
p2	Control	0	0	0	0.004079449	1	1419217	199209	PE
p2	Control	0	0	0	0.004848525	1	1596598	333720	PE
p2	Control	0	0	0	0	0	1654032	187084	PE
p1	Control	0	0	0	0	0	19344185	2537904	SE
p1	Control	0	0	0	0	0	39860577	1619857	SE
p1	Control	0	0	0	0	0	138049692	1209691	SE
p1	Control	0	0	0	0	0	39875203	304934	SE
p1	Control	0	0	0	0	0	39449257	807784	SE
p1	Control	0	0	0	0	0	48722113	539294	SE
p1	Control	0	0	0	0	0	42758802	555738	SE
p1	Control	0	0	0	0	0	91361207	7348167	SE
p1	Control	0	0	0	0	0	43810301	1774657	SE
p1	Control	0	0	0	0	0	64235945	2441245	SE
p1	Control	0	0	0	0	0	76654089	728269	SE
p1	Control	0	0	0	0	0	17476093	2013489	SE
p1	Control	0	0	0	0	0	38312511	624013	SE
p1	Control	0	0	0	0	0	43331807	340143	SE
p1	Control	0	0	0	0	0	47200180	2096472	SE
p1	Control	0	0	0	0	0	32302355	2744772	SE
p1	Control	0	0	0	0	0	52294657	1779109	SE
p1	Control	0	0	0	0	0	61590820	415830	SE
p1	Control	0	0	0	0	0	77014818	658998	SE
p1	Control	0	0	0	0	0	32579993	166124	SE
p1	Control	0	0	0	0	0	63614770	931561	SE
p1	Control	0	0	0	0	0	71827227	561987	SE
p1	Control	0	0	0	0	0	50659931	1059998	SE
p1	Control	0	0	0	0	0	52777771	771342	SE
p1	Control	0	0	0	0	0	46596327	1586136	SE
p1	Control	0	0	0	0	0	45997821	538302	SE
p1	Control	0	0	0	0	0	32755194	1149515	SE
p1	Control	0	0	0	0	0	62862312	4889556	SE
p1	Control	0	0	0	0	0	44117184	2181466	SE
p1	Control	0	0	0	0	0	65922785	4039715	SE
p1	Control	0	0	0	0	0	72406339	936145	SE
p1	COVID	4	98.9265	75.1788	0.990873495	3443	2574725	10268	PE
p1	COVID	1	1.2005	0.0055	0.25730897	219	40616205	2949074	SE
p1	COVID	2	99.5853	55.569	0.998950799	89179	48905186	2708659	SE
p1	COVID	0	0	0	0	0	785880	1727	PE
p1	COVID	1	99.893	84.5352	0.999342211	86220	1885943	112421	PE
p1	COVID	1	1.1103	0.859	0.22793824	46	1404632	7440	PE
p1	COVID	13	17.4498	0.136	0.628562975	194	2064207	154399	PE
p1	COVID	1	99.6422	79.942	0.999512842	2365827	42382383	3190033	SE
p1	COVID	22	29.1275	42.1164	0.825183847	11390	83251868	2284310	SE
p1	COVID	22	89.5863	83.6511	0.983021306	26487	60780397	1192996	SE
p1	COVID	8	99.5184	79.5368	0.997592773	69049	37807078	312033	SE
p1	COVID	12	95.5757	82.883	0.985260876	5142	2922623	24378	PE
p1	COVID	23	27.0341	35.1457	0.783259997	3231	71252821	2304061	SE
p1	COVID	1	99.8863	1.6087	0.999692471	1254246	59818725	3710691	SE
p1	COVID	0	0	0	0.585931334	316	31970680	486634	SE
p1	COVID	18	97.6089	84.4572	0.990172489	29079	26458326	334626	SE
p1	COVID	3	2.5716	24.0764	0.420238607	6618	97144566	810136	SE
p1	COVID	28	86.9746	66.3844	0.974056892	5658	21555335	510525	SE
p1	COVID	3	99.7057	95.2561	0.999623541	820465	32914438	1634766	SE
p1	COVID	1	99.6422	92.4853	0.999765686	12316659	25143479	13531310	SE
p1	COVID	1	99.7559	89.2031	0.998596378	18484	24747845	583049	SE
p1	COVID	0	0	0	0.384732572	185	27921198	1107311	SE
p1	COVID	2	99.8428	79.2739	0.998752639	53079	31598437	1283338	SE
p1	COVID	2	99.7659	90.7057	0.999293224	966132	35062760	1407710	SE
p1	COVID	2	99.8495	76.8994	0.999409627	460806	24797198	2281502	SE
p1	COVID	6	6.5378	26.0342	0.539733578	1423	24041304	785612	SE
p1	COVID	1	99.8428	10.1005	0.999175459	55729	1502052	170500	PE
p1	COVID	6	5.6951	37.4945	0.53607468	7369	2336800	381466	SE
p1	COVID	28	83.8377	10.0592	0.955145445	1517	1927575	167871	PE
p1	COVID	15	96.395	78.5871	0.988783513	1701	420981	15916	PE
p1	COVID	10	99.2609	91.9349	0.998980736	67863	25006222	575788	SE
p1	COVID	2	99.7994	18.505	0.999762494	410990	1424873	483307	PE
p1	COVID	17	26.7164	18.5782	0.719856186	314	1654421	17507	PE
