sample	cohort	date
S943	Control	20231017
S944	Contamination	20231018
S945	Control	20231019
S946	Control	20231021
S947	Control	20231023
S948	Contamination	20231023
S949	Contamination	20231023
S950	Control	20231025
S951	Control	20231028
S952	Control	20231031
S953	Control	20231102
S954	Control	20231102
S955	Contamination	20231102
S956	Control	20231104
S957	Control	20231104
S958	Control	20231107
S959	Control	20231108
S960	Control	20231110
S961	Control	20231111
S962	Control	20231111
S963	Control	20231113
S964	Control	20231115
S965	Control	20231116
S966	Control	20231122
S967	Control	20231122
S968	Control	20231122
S969	Control	20231123
S970	Control	20231123
S971	Control	20231124
S972	Control	20231125
S973	Control	20231125
S974	Control	20231127
S975	Control	20231127
S976	Control	20231128
S977	Control	20231130
S978	Control	20231201
S979	Control	20231201
S980	Control	20231201
S981	Control	20231202
S982	Control	20231202
S983	Contamination	20231203
S984	Control	20231204
S985	Control	20231204
S986	Control	20231204
S987	Control	20231206
S988	Control	20231206
S989	Control	20231206
S990	Control	20231206
S991	Control	20231208
S992	Control	20231211
S993	Control	20231211
S994	Control	20231211
S995	Control	20231212
S996	Control	20231212
S997	Control	20231212
S998	Control	20231212
S999	Control	20231212
S1000	Control	20231213
S1001	Control	20231213
S1002	Contamination	20231214
S1003	Control	20231216
S1004	Control	20231217
S1005	Control	20231220
S1006	Control	20231221
S1007	Control	20231221
S1008	Control	20231222
S1009	Control	20231222
S1010	Control	20231223
S1011	Control	20231223
S1012	Control	20231227
S1013	Control	20231228
S1014	Control	20231228
S1015	Control	20231229
S1016	Control	20231229
S1017	Control	20231229
S1018	Control	20240103
S1019	Control	20240110
S1020	Control	20240111
S1021	Control	20240111
S1022	Contamination	20240112
S1023	Contamination	20240116
S1024	Control	20240117
S1025	Contamination	20240118
S1026	Control	20240123
S1027	Control	20240126
S1028	Control	20240130
S1029	Control	20240208
S1030	Contamination	20240217
S1031	Control	20240222
S1032	Control	20240224
S1033	Control	20240224
S1034	Control	20240228
S1035	Contamination	20240228
S1036	Control	20240306
S1037	Control	20240307
S1038	Control	20240308
S1039	Control	20240312
S1040	Control	20240314
S1041	Contamination	20240325
S1042	Contamination	20240327
S1043	Contamination	20240327
S1044	Control	20240401
S1045	Contamination	20240408
S1046	Contamination	20240408
S1047	Control	20240411
S1048	Control	20240414
S1049	Control	20240415
S1050	Control	20240422
S1051	Control	20240424
S1052	Control	20240427
S1053	Control	20240427
S1054	Control	20240430
S1055	Contamination	20240506
S1056	Control	20240506
S1057	Contamination	20240506
S1058	Control	20240507
S1059	Control	20240510
