cohort	others	otherVirus	fungi	unclassified	bacteria	covid
Control	4619	554	17	66096	801	0
Control	631	1	14	64997	453	0
Control	1569	4	15	56675	64006	0
Control	24	0	8	40	1910	0
Control	160	51	14	14148	2416	0
Control	1401	3	5	93569	36919	0
Control	276	3	14	95969	467	0
Control	46	28800	1	43567	46	1
Control	467	2	1	28879	1642	0
Control	208	6	13	5433	30634	0
Control	740	52852	27	393366	1434	0
Control	3597	47	26	96718	24589	0
COVID	65645	38870	65	38962	1350	826902
Control	3139	42	4	50479	379	0
Control	132	3426	118	113791	384	1
Control	1076	15763	399	112525	44800	0
Control	202	19345	3	95780	42	0
Control	505	7	47	120434	45929	0
Control	149	1	6	121629	2199	0
Control	142	9	59	74377	5080	0
Control	235	1987	360	192924	6750	0
Control	638	31273	18	102147	805	1
Control	234	37	192	12234	8838	0
Control	3206	0	25	67627	8738	0
