sample	project	Mix	gatkReads	asmRef	asmFrag	asmPathogenFrag	asmCov	asmSignal	Virus	CleanSizeRNA	CleanSizeDNA
Zhang_Dengue_2021.Mix2.rand.55	Zhang_Dengue_2021	2	60072	q	1002	2	100	1.64443522934089	Dengue	461569	0
Zhang_Dengue_2021.Mix5.rand.70	Zhang_Dengue_2021	5	116966	q	1713	1	99.8690088246339	0.838759553499598	Dengue	1827859	0
Zhang_Dengue_2021.Mix7.rand.16	Zhang_Dengue_2021	7	97401	q	1624	2	100	0.928291617555294	Dengue	2940671	0
Zhang_Dengue_2021.Mix9.rand.69	Zhang_Dengue_2021	9	272532	q	1800	1	100	0.815832360390612	Dengue	3817329	0
Zhang_Dengue_2021.Mix3.rand.40	Zhang_Dengue_2021	3	24189	q	992	1	97.9233	1.61104895169469	Dengue	888600	0
Zhang_Dengue_2021.Mix5.rand.64	Zhang_Dengue_2021	5	154228	q	900	1	100	1.9424684525448	Dengue	2145696	0
Zhang_Dengue_2021.Mix3.rand.34	Zhang_Dengue_2021	3	135269	q	743	1	100	2.258116681963	Dengue	690797	0
Zhang_Dengue_2021.Mix10.rand.9	Zhang_Dengue_2021	10	208223	q	1904	2	100	0.739109190104914	Dengue	4055976	0
Zhang_Dengue_2021.Mix10.rand.2	Zhang_Dengue_2021	10	167846	q	2017	2	100	0.663543744678592	Dengue	4165817	0
Zhang_Dengue_2021.Mix10.rand.6	Zhang_Dengue_2021	10	172819	q	1961	2	100	0.701470425072281	Dengue	4589279	0
Zhang_Dengue_2021.Mix5.rand.72	Zhang_Dengue_2021	5	148852	q	1153	2	100	1.46466664409305	Dengue	1994319	0
Zhang_Dengue_2021.Mix2.rand.66	Zhang_Dengue_2021	2	45143	q	1124	1	99.616427069225	1.44961074636781	Dengue	498327	0
Zhang_Dengue_2021.Mix5.rand.15	Zhang_Dengue_2021	5	74737	q	1747	1	100	0.791430412800218	Dengue	2660440	0
Zhang_Dengue_2021.Mix6.rand.43	Zhang_Dengue_2021	6	97072	q	400	2	100	5.32340196885521	Dengue	3257829	0
Zhang_Dengue_2021.Mix5.rand.44	Zhang_Dengue_2021	5	177362	q	1551	1	100	0.842961561046897	Dengue	1904440	0
Zhang_Dengue_2021.Mix10.rand.80	Zhang_Dengue_2021	10	208796	q	2085	2	100	0.647827302152111	Dengue	3939350	0
Zhang_Dengue_2021.Mix9.rand.62	Zhang_Dengue_2021	9	203529	q	1630	2	100	0.984868498966029	Dengue	3291380	0
Zhang_Dengue_2021.Mix8.rand.46	Zhang_Dengue_2021	8	131120	q	2021	1	99.8597089475167	0.670748335224624	Dengue	3764088	0
Zhang_Dengue_2021.Mix7.rand.43	Zhang_Dengue_2021	7	101804	q	1051	2	100	1.72188640556412	Dengue	3691127	0
Zhang_Dengue_2021.Mix7.rand.58	Zhang_Dengue_2021	7	59003	q	1668	5	100	0.856684332372772	Dengue	2953722	0
Zhang_Dengue_2021.Mix9.rand.14	Zhang_Dengue_2021	9	183097	q	2017	1	100	0.643227799292378	Dengue	3692274	0
