virus	length	Expect_errors	Actual_error	expected_Escape_blast	expected_Escape_bowtie
SARS_cov_2	150	15	2	1	0
SARS_cov_2	150	15	3	2	0
SARS_cov_2	150	15	4	31	0
SARS_cov_2	150	15	5	94	0
SARS_cov_2	150	15	6	388	0
SARS_cov_2	150	15	7	1273	0
SARS_cov_2	150	15	8	3661	0
SARS_cov_2	150	15	9	9875	0
SARS_cov_2	150	15	10	24890	0
SARS_cov_2	150	15	11	58634	0
SARS_cov_2	150	15	12	123947	84
SARS_cov_2	150	15	13	209371	2441
SARS_cov_2	150	15	14	414301	53777
SARS_cov_2	150	15	15	754434	1593409
SARS_cov_2	150	15	16	0	2019
SARS_cov_2	150	15	17	0	480
SARS_cov_2	150	15	18	0	87
SARS_cov_2	150	15	19	0	15
SARS_cov_2	150	15	20	0	6
SARS_cov_2	150	15	21	0	1
SARS_cov_2	150	15	22	0	0
SARS_cov_2	150	15	23	0	0
SARS_cov_2	150	15	24	0	0
SARS_cov_2	150	15	25	0	0
SARS_cov_2	150	15	26	0	0
SARS_cov_2	150	15	27	0	0
SARS_cov_2	150	15	28	0	0
SARS_cov_2	150	15	29	0	0
SARS_cov_2	150	15	30	0	0
SARS_cov_2	150	16	0	1	0
SARS_cov_2	150	16	1	0	0
SARS_cov_2	150	16	2	1	0
SARS_cov_2	150	16	3	2	0
SARS_cov_2	150	16	4	13	0
SARS_cov_2	150	16	5	69	0
SARS_cov_2	150	16	6	242	0
SARS_cov_2	150	16	7	709	0
SARS_cov_2	150	16	8	2021	0
SARS_cov_2	150	16	9	5307	0
SARS_cov_2	150	16	10	12886	0
SARS_cov_2	150	16	11	29569	0
SARS_cov_2	150	16	12	63487	6
SARS_cov_2	150	16	13	122989	146
SARS_cov_2	150	16	14	190668	2780
SARS_cov_2	150	16	15	354473	1195
SARS_cov_2	150	16	16	601362	229
SARS_cov_2	150	16	17	0	75
SARS_cov_2	150	16	18	0	18
SARS_cov_2	150	16	19	0	2
SARS_cov_2	150	16	20	0	1
SARS_cov_2	150	16	21	0	0
SARS_cov_2	150	16	22	0	0
SARS_cov_2	150	16	23	0	0
SARS_cov_2	150	16	24	0	0
SARS_cov_2	150	16	25	0	0
SARS_cov_2	150	16	26	0	0
SARS_cov_2	150	16	27	0	0
SARS_cov_2	150	16	28	0	0
SARS_cov_2	150	16	29	0	0
SARS_cov_2	150	16	30	0	0
SARS_cov_2	150	17	0	0	0
SARS_cov_2	150	17	1	0	0
SARS_cov_2	150	17	2	0	0
SARS_cov_2	150	17	3	4	0
SARS_cov_2	150	17	4	8	0
SARS_cov_2	150	17	5	40	0
SARS_cov_2	150	17	6	143	0
SARS_cov_2	150	17	7	432	0
SARS_cov_2	150	17	8	1128	0
SARS_cov_2	150	17	9	3003	0
SARS_cov_2	150	17	10	7033	0
SARS_cov_2	150	17	11	15965	0
SARS_cov_2	150	17	12	32496	0
SARS_cov_2	150	17	13	65615	7
SARS_cov_2	150	17	14	118624	145
SARS_cov_2	150	17	15	171188	86
SARS_cov_2	150	17	16	295114	26
SARS_cov_2	150	17	17	472255	11
SARS_cov_2	150	17	18	0	2
SARS_cov_2	150	17	19	0	1
SARS_cov_2	150	17	20	0	0
SARS_cov_2	150	17	21	0	0
SARS_cov_2	150	17	22	0	0
SARS_cov_2	150	17	23	0	0
SARS_cov_2	150	17	24	0	0
SARS_cov_2	150	17	25	0	0
SARS_cov_2	150	17	26	0	0
SARS_cov_2	150	17	27	0	0
SARS_cov_2	150	17	28	0	0
SARS_cov_2	150	17	29	0	0
SARS_cov_2	150	17	30	0	0
SARS_cov_2	150	18	0	1	0
SARS_cov_2	150	18	1	0	0
SARS_cov_2	150	18	2	1	0
SARS_cov_2	150	18	3	3	0
SARS_cov_2	150	18	4	4	0
